1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
242	-1.150126	154.111638	7.414307	0.012259	3.1
243	-1.105996	155.111628	7.372207	0.006905	2.9
244	-1.123386	155.056687	7.374508	0.011072	2.8
245	-1.111094	156.054506	7.332947	0.007265	2.9
246	-1.145269	155.999566	7.335223	0.010842	2.8
247	-1.126120	156.999566	7.294014	0.010186	2.9
248	-1.152583	157.999565	7.253265	0.006871	2.9
249	-1.136540	158.693025	7.225274	0.016325	3.1
250	-1.217820	159.668233	7.186274	0.011848	4.3
251	-1.117712	160.668233	7.146717	0.009568	3.6
252	-1.127285	160.613292	7.148879	0.012346	3.2
253	-1.115818	161.609974	7.109860	0.007921	2.8
254	-1.137831	162.609974	7.071137	0.007764	3.4
255	-1.148014	163.607675	7.032922	0.014873	2.8
256	-1.114703	163.686472	7.029921	0.006387	2.8
257	-1.160253	163.631531	7.032013	0.011302	3.0
258	-1.135349	164.598172	6.995389	0.007649	3.1
259	-1.117679	165.563680	6.959186	0.007294	2.8
260	-1.100605	166.526676	6.923449	0.007138	2.9
261	-1.131094	167.217121	6.898051	0.007810	2.9
262	-1.155635	167.307447	6.894743	0.007777	3.0
263	-1.146859	167.987128	6.869946	0.012157	3.2
264	-1.112688	168.987126	6.833786	0.015360	2.9
265	-1.118660	169.987126	6.798005	0.008294	2.8
266	-1.158373	170.984629	6.762684	0.008695	2.7
267	-1.119981	170.929696	6.764619	0.007722	2.9
268	-1.122439	171.923101	6.729787	0.010574	3.1
269	-1.092268	172.922735	6.695096	0.008206	2.8
270	-1.121009	172.876556	6.696691	0.007435	2.7
271	-1.150955	173.875935	6.662348	0.008274	2.8
272	-1.116962	174.794022	6.631108	0.010492	2.7
273	-1.141742	175.794017	6.597413	0.007008	3.1
274	-1.133380	176.793448	6.564077	0.008368	2.7
275	-1.121340	176.741493	6.565801	0.009803	3.0
276	-1.138033	177.741493	6.532764	0.008511	2.8
277	-1.143019	178.732351	6.500356	0.011690	2.9
278	-1.120444	179.732350	6.467973	0.006208	2.9
279	-1.124683	179.677447	6.469742	0.013397	2.9
280	-1.146611	180.629884	6.439181	0.009472	3.1
281	-1.164324	180.598311	6.440190	0.010839	2.8
282	-1.117363	181.598311	6.408402	0.004931	2.8
283	-1.125800	182.502024	6.379943	0.010568	2.8
284	-1.129937	182.447700	6.381647	0.010648	2.9
